Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Burundi,0.057641748,0.06055577,0.053203933,0.058250031,0.061216519,0.066133946,0.071678193,0.073771344,0.069642266,0.070371405,0.074458552,0.054026921,0.052740041,0.039766853,0.045334002,0.03388963,0.037891562,0.035669038,0.034020534,0.032523117,0.034110092,0.036546924,0.04005462,0.038490889,0.055047215
Cabo Verde,0.259366356,0.25692386,0.243205637,0.226081223,0.191918005,0.175204538,0.182616162,0.165700346,0.156549564,0.161337252,0.162939474,0.169178795,0.18543243,0.195723812,0.185310199,0.224123885,0.216566111,0.195895968,0.167119416,0.187675433,0.194338879,0.202368753,0.161357641,0.155032008,0.149005142
Cambodia,,,,0.120856444,0.193515967,0.181020792,0.175009173,0.157538036,0.18850224,0.160223144,0.147579889,0.153105617,0.138653904,0.135249506,0.122671663,0.119221382,0.11288532,0.115231818,0.119172827,0.141068794,0.141759417,0.134718472,0.129073698,0.121331555,0.132597517
Cameroon,0.07553516,0.048336406,0.167377985,0.182748252,0.171580114,0.179895247,0.178674357,0.120282134,0.113559377,0.103042798,0.108454689,0.101359267,0.09562231,0.099700405,0.094786547,0.084173629,0.082496116,0.11571197,0.104231756,0.122773345,0.118302859,0.094675075,0.094392411,0.097277844,0.093241704
Canada,0.779002256,0.755022533,0.756082967,0.726988502,0.698407659,0.681957209,0.675681998,0.65805984,0.640633187,0.61100712,0.595065392,0.56525249,0.536747939,0.542399164,0.511532873,0.477411739,0.439388785,0.427368232,0.418972078,0.41140418,0.392961892,0.37626988,0.353318331,0.333593673,0.332100774
Cayman Islands,,,,,,,,,0.176762095,0.168516755,0.177148698,0.173669388,0.17467399,0.170654957,0.153718808,0.143309497,0.136075456,0.151808351,0.152319902,0.155725277,0.158228499,0.161263038,0.142629474,0.138399034,0.134129461
Central African Republic,0.110638271,0.111599452,0.122850195,0.123660322,0.121095786,0.110642453,0.113180301,0.110614604,0.106032386,0.106825995,0.108646067,0.093405677,0.08874184,0.087971021,0.080819697,0.077672827,0.07645553,0.072222697,0.069418723,0.0634453,0.062544896,0.062065343,0.061018805,0.094924299,0.094201457
Chad,0.033317242,0.013704484,0.015852668,0.019969537,0.019882776,0.0206106,0.022441701,0.023951511,0.023281137,0.024798376,0.02669608,0.022908191,0.020344193,0.039362188,0.028408198,0.024848084,0.024402561,0.026121016,0.027428907,0.025180175,0.023065038,0.023534994,0.024093761,0.025620707,0.024507192
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.55631971,0.468663816,0.420968159,0.405785859,0.409473521,0.394843844,0.414996787,0.441572779,0.42781069,0.451834566,0.401264454,0.3447156,0.340367514,0.323589182,0.315974631,0.299689565,0.251560897,0.255804457,0.260598157,0.244821352,0.233152837,0.22603955,0.21637012,0.211077692,0.204025649
China,2.178494531,2.025264104,1.81805018,1.668805672,1.535419151,1.471614429,1.371173418,1.236308271,1.086259559,0.992661434,0.918459861,0.849632614,0.846130467,0.89026122,0.907502969,0.890205552,0.848753681,0.779152283,0.748771229,0.719540948,0.70514916,0.699292011,0.655417221,0.611355695,0.561035392
Colombia,0.345347675,0.326259957,0.333041977,0.318524012,0.311068042,0.255507174,0.249624076,0.254430736,0.254286279,0.224130766,0.218321181,0.204124166,0.193903619,0.188983364,0.167559709,0.171748534,0.161229804,0.145758022,0.151016456,0.158034227,0.156943259,0.143858198,0.141922044,0.149521301,0.13146868
Comoros,0.090446547,0.097917543,0.088210583,0.088301759,0.091271821,0.090823515,0.094875427,0.093923181,0.100038254,0.100783896,0.099604776,0.095244936,0.091631465,0.113280616,0.117252534,0.107737752,0.117962296,0.072522946,0.070846058,0.084574947,0.098438157,0.077890392,0.078057687,0.09034854,0.075991287
Congo  Dem. Rep.,0.130664166,0.100462811,0.104314843,0.108408462,0.069831551,0.087979401,0.095280899,0.081339194,0.071817825,0.061275838,0.037914084,0.038920423,0.041298147,0.040831782,0.045283055,0.051752392,0.051192819,0.051191746,0.050035184,0.045421551,0.048421919,0.054770409,0.048338345,0.065451599,0.076360913
Congo  Rep.,0.145945811,0.116593134,0.141502405,0.143994842,0.242829931,0.166666441,0.172005101,0.232323569,0.073473631,0.078556083,0.091197074,0.062824633,0.044423337,0.068887841,0.067161832,0.062545414,0.065034097,0.069836635,0.06998538,0.086171727,0.088855555,0.096003191,0.119328035,0.117848129,0.108573502
Costa Rica,0.188532281,0.201334576,0.204834198,0.194801451,0.243327179,0.211374266,0.200091227,0.195682668,0.192882305,0.18998841,0.177428847,0.176529501,0.184734842,0.182233283,0.177892348,0.164595461,0.153989144,0.158616252,0.14881119,0.144962112,0.130766172,0.125597655,0.117983286,0.110913589,0.107390617
Cote d'Ivoire,0.198024746,0.173479317,0.152808129,0.195042514,0.166041864,0.214416318,0.231512391,0.211782473,0.182275552,0.160311612,0.173515963,0.192935987,0.18215218,0.135857873,0.183434934,0.178565229,0.152650885,0.141485493,0.135344332,0.108619943,0.129595708,0.138149513,0.156999137,0.16288,0.151875704
Croatia,,,,,,0.462419116,0.429001324,0.441149748,0.455076407,0.450324972,0.406287044,0.406533905,0.393874652,0.394388121,0.358256555,0.342805925,0.301132337,0.285915316,0.251579065,0.245391733,0.237413741,0.2229264,0.199297296,0.189110463,0.179995754
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,1.400330196,1.205740589,1.350185109
Cyprus,0.566590508,0.583251273,0.575869279,0.587491295,0.562534403,0.48453134,0.51899448,0.49137893,0.502933201,0.472293494,0.469021912,0.42668549,0.420086325,0.444771218,0.388656809,0.365909217,0.345902321,0.325227834,0.313104878,0.296221288,0.279649934,0.262923425,0.250960964,0.225355319,0.233963413
Czech Republic,,,1.13595205,1.064475549,0.960086732,0.871891006,0.83345769,0.839428044,0.798580581,0.710545252,0.74591035,0.689839968,0.64564031,0.616371696,0.550591745,0.53571891,0.501580795,0.458279929,0.403442464,0.373499381,0.385022299,0.353694288,0.330908677,0.307845555,0.284099082
Denmark,0.536394589,0.614000416,0.530690977,0.544526277,0.541050526,0.482084313,0.578408327,0.467294659,0.43493674,0.388787049,0.335396699,0.335321614,0.315986387,0.337432314,0.284505472,0.254466685,0.271155292,0.236139781,0.206969403,0.19977585,0.195518369,0.164320394,0.145406802,0.14686555,0.123915096
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.20192121,,,
