GrainID	O11	O12	O13	O21	O22	O23	O31	O32	O33	X	Y	Z	a	b	c	alpha	beta	gamma	DiffPos	DiffOme	DiffAngle	GrainRadius	Confidence	eFab11	eFab12	eFab13	eFab21	eFab22	eFab23	eFab31	eFab32	eFab33	eKen11	eKen12	eKen13	eKen21	eKen22	eKen23	eKen31	eKen32	eKen33	RMSErrorStrain	PhaseNr	Eul0	Eul1	Eul2
10171	0.090288	-0.271948	-0.958074	0.309312	0.922081	-0.232582	0.946673	-0.275340	0.167369	235.894615	308.234959	-87.718537	2.928831	2.926111	4.678471	90.076738	89.942490	119.991660	145.654472	0.116360	0.102171	50.755430	0.898936	-225.124767	-645.532691	-221.874466	-645.532691	408.881458	-499.650416	-221.874466	-499.650416	1262.096636	-1059.611880	-939.035810	60.961295	-939.035810	1554.477622	-565.261972	60.961295	-565.261972	908.468663	427.553038	1.000000	0.000000	0.000000	0.000000	
10057	0.255499	-0.311054	0.915405	0.093298	0.950344	0.296886	-0.962297	0.009551	0.271833	292.735520	-158.183553	177.860660	2.927437	2.928193	4.680538	90.080063	89.991427	119.954556	184.910617	0.120297	0.116824	34.832462	0.804348	461.096755	-754.745267	160.714694	-754.745267	677.757573	-627.271833	160.714694	-627.271833	1357.734034	-467.689754	-614.267700	-93.863026	-614.267700	841.162255	38.588991	-93.863026	38.588991	1458.776784	1271.223896	1.000000	289.173869	77.327270	81.702382	
10173	0.185459	-0.227622	0.955925	0.018146	0.973429	0.228270	-0.982484	-0.024989	0.184662	-67.811906	130.164689	187.987118	2.929956	2.928501	4.675860	90.067819	90.043507	120.016384	157.028748	0.122205	0.121213	72.064664	1.000000	-688.637032	-1070.871822	255.308401	-1070.871822	807.805390	251.198219	255.308401	251.198219	1720.076124	-688.221321	-727.611027	-47.675912	-727.611027	603.499926	59.260802	-47.675912	59.260802	1764.993483	511.286824	1.000000	0.000000	0.000000	0.000000	
10065	0.136851	-0.196454	0.970916	-0.283448	0.931390	0.228409	-0.949173	-0.306462	0.071777	-251.995177	153.790341	-29.745235	2.926818	2.930587	4.676849	89.834516	90.085511	119.993176	234.202859	0.137675	0.152726	37.021544	0.803191	19.926684	-1840.835543	391.157190	-1840.835543	1289.618781	-14.309354	391.157190	-14.309354	613.819265	-316.339628	-1112.810337	504.107764	-1112.810337	1002.666357	-729.522587	504.107764	-729.522587	792.163687	702.524703	1.000000	0.000000	0.000000	0.000000	
10066	0.376197	-0.169032	0.910991	-0.085505	0.972689	0.215789	-0.922586	-0.159073	0.351470	-104.788424	73.333870	-245.601726	2.925464	2.928121	4.673395	89.990334	89.957708	119.946576	253.451683	0.136791	0.145086	47.161389	0.904255	-598.087005	-822.597218	-1053.962554	-822.597218	1017.099949	291.886343	-1053.962554	291.886343	-67.367459	-481.700164	-643.212664	-694.937997	-643.212664	824.227889	208.907470	-694.937997	208.907470	829.782298	948.542992	1.000000	284.627903	87.955240	93.456697	
9991	0.221023	-0.231185	0.947472	-0.353234	0.886561	0.298724	-0.909051	-0.400704	0.114288	251.239003	-262.774917	-21.073988	2.927496	2.928565	4.677326	89.985341	90.047429	119.989290	153.331658	0.145626	0.124223	50.902120	0.914894	-493.743322	-531.930925	223.852167	-531.930925	1169.108199	116.900179	223.852167	116.900179	932.898623	-597.668463	-621.164570	298.182178	-621.164570	1198.845960	-48.886185	298.182178	-48.886185	1078.441959	654.754749	1.000000	284.629500	74.854972	91.903292	
10188	0.018334	-0.224559	0.974288	-0.129545	0.965704	0.225019	-0.991404	-0.130339	-0.011385	347.467059	299.717560	-113.766036	2.930542	2.925215	4.675323	90.096119	89.951392	120.031687	219.195464	0.130746	0.134190	45.840307	0.856383	-570.550652	-1023.651329	-94.052768	-1023.651329	-121.155360	983.148988	-94.052768	983.148988	1338.965929	-742.531200	-422.360504	227.340239	-422.360504	675.859869	1232.454719	227.340239	1232.454719	1121.500209	1104.447447	1.000000	0.000000	0.000000	0.000000	
9992	0.397838	-0.044738	-0.916370	-0.565271	0.774756	-0.283240	0.722636	0.630678	0.282937	194.512225	455.290113	-110.322876	2.927163	2.929827	4.670953	89.949495	89.942634	120.000737	187.379343	0.142516	0.139782	56.102542	0.914894	-1360.259325	-1630.828259	122.026838	-1630.828259	995.259795	161.638142	122.026838	161.638142	812.387772	-678.548844	-675.307338	171.024484	-675.307338	1014.444047	-152.893233	171.024484	-152.893233	1183.703273	438.418274	1.000000	104.743135	82.279275	248.700018	
10075	0.200804	-0.194476	0.960134	-0.111982	0.969116	0.219715	-0.973210	-0.151638	0.172825	-68.383709	41.070139	199.702434	2.926743	2.928357	4.674637	89.945579	89.977653	119.926389	127.609674	0.112084	0.099549	72.691709	1.000000	-526.284550	-1115.296415	-909.397222	-1115.296415	985.772081	495.847386	-909.397222	495.847386	878.353150	-674.953012	-960.155525	-270.202266	-960.155525	1005.260932	306.074361	-270.202266	306.074361	829.167856	425.129653	1.000000	288.631060	83.329065	59.698803	
10207	0.365175	-0.119647	-0.923218	-0.207295	0.956357	-0.205936	0.907566	0.266581	0.324436	130.934409	12.373010	152.244771	2.929521	2.929518	4.680241	90.023598	89.921228	120.079966	198.572491	0.154446	0.147532	60.676541	0.994681	-306.920899	-59.871061	-373.392811	-59.871061	1145.950458	700.401765	-373.392811	700.401765	1493.855556	-289.502812	-560.283754	-105.157997	-560.283754	1344.798856	262.623159	-105.157997	262.623159	1334.836000	755.083067	1.000000	104.460618	72.977059	247.350134	
10080	0.214331	-0.274628	0.937359	-0.026601	0.957663	0.286659	-0.976399	-0.086375	0.197951	438.017498	-234.696588	73.332896	2.929997	2.925760	4.674579	89.946339	90.014732	120.025328	149.822995	0.182406	0.160660	59.836376	0.967391	-1048.460071	-135.675723	-842.131172	-135.675723	431.549246	589.742089	-842.131172	589.742089	1170.531066	-510.298158	-615.303139	-454.499321	-615.303139	644.700065	230.377002	-454.499321	230.377002	1453.214380	708.602095	1.000000	0.000000	0.000000	0.000000	
10208	0.172716	-0.227111	0.958431	0.114196	0.971110	0.209536	-0.978329	0.073259	0.193662	260.026297	24.252634	-50.666731	2.929056	2.926951	4.679805	90.031370	89.944691	119.955567	184.175226	0.119543	0.113979	49.215584	0.891304	288.390171	-277.260074	-655.143006	-277.260074	598.614506	-458.323517	-655.143006	-458.323517	1572.551629	-572.887935	-161.118065	-287.600509	-161.118065	602.670508	-548.045246	-287.600509	-548.045246	1503.546137	896.442939	1.000000	104.171075	78.408048	265.659907	
10209	0.106568	-0.185126	0.976927	-0.395349	0.893620	0.212471	-0.912336	-0.408868	0.022042	-87.691215	-10.218564	151.505302	2.928753	2.927105	4.674704	90.050185	89.942677	119.936963	129.299582	0.127100	0.115159	53.358471	0.951087	-927.822292	-677.264075	-409.273323	-677.264075	1319.840989	-799.934358	-409.273323	-799.934358	1113.805682	-1138.829252	-721.716594	-120.803963	-721.716594	1435.816900	-922.633751	-120.803963	-922.633751	1089.303741	509.273474	1.000000	288.438783	85.231117	55.261468	
10090	0.337210	0.006945	0.941404	-0.574159	0.793990	0.199805	-0.746078	-0.607891	0.271729	18.443707	-24.775677	235.935821	2.930647	2.928156	4.674695	89.952064	89.982247	119.986617	234.184923	0.125080	0.145504	39.377673	0.835106	-507.337832	-1085.880711	-859.514809	-1085.880711	968.470956	103.092740	-859.514809	103.092740	1549.236662	-501.242860	-928.226152	-848.189430	-928.226152	987.732205	258.549667	-848.189430	258.549667	1208.392207	780.662814	1.000000	284.601092	87.972212	93.410354	
10094	0.272367	-0.046583	0.961065	-0.594463	0.777250	0.206145	-0.756591	-0.627465	0.184005	344.595878	400.039642	30.657404	2.927050	2.925614	4.666127	89.826144	90.046874	119.975969	248.377016	0.124490	0.127319	51.393583	0.888298	-2318.728373	-2090.191451	-48.422395	-2090.191451	-192.130627	98.036961	-48.422395	98.036961	694.604401	-1071.540586	-718.817361	-186.851453	-718.817361	1133.710047	-136.511069	-186.851453	-136.511069	792.691194	1068.686631	1.000000	0.000000	0.000000	0.000000	
10230	0.179613	-0.137341	-0.974103	-0.427251	0.881049	-0.203001	0.886113	0.452648	0.099568	97.645298	419.935348	58.222702	2.927795	2.930550	4.675573	90.043320	89.973133	120.035821	104.168365	0.114718	0.108876	120.559418	1.000000	-761.561476	-747.930728	-149.694354	-747.930728	1384.750019	561.572839	-149.694354	561.572839	921.987283	-712.952242	-487.333606	-180.343108	-487.333606	1342.070424	363.447609	-180.343108	363.447609	962.712903	327.307638	1.000000	108.565352	65.837133	228.469770	
10235	0.305171	-0.296002	0.905126	0.347500	0.919539	0.183552	-0.886631	0.258517	0.383477	-430.409966	-350.610034	127.028432	2.926181	2.926857	4.677792	90.103284	90.063197	120.065420	212.285456	0.149986	0.128428	57.504024	0.957447	-419.971040	-1498.842945	370.058410	-1498.842945	-287.540443	237.767644	370.058410	237.767644	609.895605	-108.846783	-477.930273	-519.344717	-477.930273	927.411937	-784.071681	-519.344717	-784.071681	779.731886	473.469262	1.000000	104.057974	70.798106	257.549724	
10102	0.473185	-0.062350	-0.878759	-0.202404	0.963114	-0.177326	0.857401	0.261771	0.443111	-217.704727	-85.017489	-32.061053	2.928503	2.927311	4.675169	90.036031	89.998912	119.973846	116.629697	0.123242	0.104562	48.799592	0.867021	-801.644030	55.855105	722.302828	55.855105	1317.631888	302.317735	722.302828	302.317735	703.113566	-54.951661	-110.195517	674.254755	-110.195517	835.879948	256.667472	674.254755	256.667472	894.386454	300.650722	1.000000	104.153994	78.274893	265.805770	
10104	0.238964	-0.213804	-0.947198	0.116386	0.974733	-0.190657	0.964028	-0.064680	0.257810	-445.355776	383.999381	176.094919	2.928807	2.926951	4.676252	90.035932	89.987243	120.010461	122.269577	0.145532	0.134043	42.081363	0.847826	-694.944278	-22.384987	583.806951	-22.384987	677.449123	-199.074387	583.806951	-199.074387	1079.573918	-305.711903	-9.895750	601.829116	-9.895750	772.357059	137.152568	601.829116	137.152568	988.960972	472.941721	1.000000	283.972145	86.923654	99.164904	
10106	-0.005408	-0.196569	0.980475	0.193878	0.961679	0.193870	-0.981011	0.191141	0.032910	-205.545839	443.353723	205.435797	2.931851	2.926791	4.677418	89.907272	90.079268	120.095580	236.286729	0.154944	0.162540	53.017489	0.840426	-188.301856	-1075.229289	396.473703	-1075.229289	766.735929	-1356.642058	396.473703	-1356.642058	856.056741	-169.078445	-921.366906	175.755628	-921.366906	1449.246374	-1340.127177	175.755628	-1340.127177	831.463114	846.578511	1.000000	0.000000	0.000000	0.000000	
10108	0.114764	-0.164713	0.979642	-0.337328	0.921099	0.194387	-0.934366	-0.352769	0.050147	-189.957535	331.260138	244.646908	2.927877	2.932703	4.676866	90.039633	90.009906	120.139363	249.218758	0.138201	0.171526	53.293616	0.861702	-784.252076	3.104684	399.963429	3.104684	1863.937655	-1493.508411	399.963429	-1493.508411	458.867280	-308.364472	-376.476298	174.849436	-376.476298	1727.722080	-800.758663	174.849436	-800.758663	534.990662	1152.446746	1.000000	288.113565	90.931593	77.768164	
